"Rub and Buzz Peak Ratio",,,
Ch1,,Ch2,
X,Y,X,Y
Hz,dB,Hz,dB
20,-26.179363715125,20,-26.7380164265615
34.0049559235494,-68.5771092702341,34.0049559235494,-70.0291400109904
48.0099005115518,-69.0153314280466,48.0099005115518,-70.1928468517813
62.0199948809309,-67.0307491603504,62.0199948809309,-67.3665718363695
76.0190085131963,-65.2286105300898,76.0190085131963,-66.0196999185179
90.0241774349457,-62.041889256388,90.0241774349457,-61.3185583199446
104.028239371781,-59.2603682852259,104.028239371781,-59.5176695770271
118.038325883794,-56.39981636218,118.038325883794,-56.4217634391368
132.053126076573,-52.8337555123971,132.053126076573,-54.9368821069628
146.060259821859,-51.8663550619749,146.060259821859,-52.898421859865
160.051688728571,-50.0939873147695,160.051688728571,-52.4416382007938
174.057848381666,-50.8196715382877,174.057848381666,-47.7122761549381
188.078441449734,-48.2486324301892,188.078441449734,-48.8744451288456
202.075327946848,-47.7412514407234,202.075327946848,-49.1865380320308
216.071063651994,-49.9741564401053,216.071063651994,-49.5243870040955
230.094258353115,-48.3097886876714,230.094258353115,-50.6744628096732
244.099861181966,-50.1790052218593,244.099861181966,-48.769967953566
258.090458543816,-48.0428875702404,258.090458543816,-48.0242429754514
272.127531035236,-50.4841266411019,272.127531035236,-51.528282234478
286.133777885674,-50.3777427025243,286.133777885674,-49.9829784342778
300.115631803835,-50.7925713038892,300.115631803835,-48.7977786207959
314.138402917537,-51.2686738640028,314.138402917537,-50.2803136396244
328.145439868778,-49.4656455837708,328.145439868778,-49.3583004544926
342.127516453906,-49.6547302281676,342.127516453906,-49.6236101997117
356.133354459538,-49.8120292326421,356.133354459538,-52.702058439448
370.172091292642,-49.7937721621064,370.172091292642,-50.9179198410021
384.147232535068,-49.5485531564025,384.147232535068,-51.0240959680363
398.184954698648,-51.5898803874243,398.184954698648,-48.7643113821383
412.1940540103,-51.1092855525933,412.1940540103,-51.1850804652812
426.198287447748,-49.8229327759795,426.198287447748,-52.3722686851855
440.164262900158,-51.4869498789757,440.164262900158,-53.4101167756588
454.190121127107,-53.4540966413236,454.190121127107,-54.7474540679713
468.18452217989,-54.1941902634857,468.18452217989,-53.6941526244677
482.187831562288,-55.0448888447692,482.187831562288,-51.6730429983975
496.175443443395,-54.1547253680988,496.175443443395,-52.2763490259979
510.196499903311,-55.5913086512435,510.196499903311,-52.6270742211946
524.231208234113,-53.6155999400674,524.231208234113,-53.5777513297493
538.259193666049,-52.1262031506681,538.259193666049,-54.2732667800939
552.259543593177,-52.6419401763339,552.259543593177,-53.7195699663538
566.210854985518,-54.2179926620877,566.210854985518,-52.6553474322707
580.260576945877,-52.4726187843926,580.260576945877,-53.9830919172239
594.225285730804,-54.6766101834826,594.225285730804,-52.7175188116461
608.259784528769,-52.5433632337338,608.259784528769,-51.7999879168493
622.262500747307,-53.584697707949,622.262500747307,-54.1586657521178
636.309004693027,-54.4357255167005,636.309004693027,-51.8253273729595
650.292969821726,-52.3301676564868,650.292969821726,-54.7413266983984
664.293436912242,-53.8667040773638,664.293436912242,-52.5858603298033
678.298376250144,-52.4506744451314,678.298376250144,-54.5440223785911
692.295495911718,-53.8601429459066,692.295495911718,-54.2182372819417
706.272257975938,-52.9710635820808,706.272257975938,-55.4058876173246
720.320980764359,-50.6362519578791,720.320980764359,-52.2139566906364
734.327672498778,-52.5136235391071,734.327672498778,-55.3857604997103
748.27913815888,-54.6685902725623,748.27913815888,-53.14902070637
762.273207721644,-54.6273406825901,762.273207721644,-53.7910157968968
776.302436005405,-51.4820857107267,776.302436005405,-52.4502170067414
790.359208651122,-55.5401886843432,790.359208651122,-53.6238640592087
804.31839161629,-54.6067736110717,804.31839161629,-55.1401238430124
818.404707510409,-55.5836132309193,818.404707510409,-52.1991405070921
832.373319552074,-53.7254552507771,832.373319552074,-54.4836755864024
846.333357874968,-53.1748558757824,846.333357874968,-56.0462848700656
860.401985726466,-54.083712283525,860.401985726466,-53.7796705624892
874.32170983034,-55.2314780914794,874.32170983034,-54.7380815942178
888.337014172872,-53.2963395075864,888.337014172872,-55.5736365816528
902.445308832938,-55.0229639765745,902.445308832938,-55.5859850542095
916.376489007084,-54.5427990809194,916.376489007084,-54.3722143137821
930.386976091805,-54.0452508192137,930.386976091805,-52.6487472690783
944.336077440006,-55.6063026705512,944.336077440006,-56.9410026301804
958.354483374157,-55.0035019197201,958.354483374157,-54.0900092191445
972.439102148746,-51.5845794113863,972.439102148746,-54.6153766804606
986.44283741664,-56.3757158675649,986.44283741664,-56.1794853557443
1000.35629433831,-53.782413317054,1000.35629433831,-55.3810794519236
1014.46599606624,-53.9910359638025,1014.46599606624,-53.4870100771772
1028.47456366926,-54.8087464673965,1028.47456366926,-54.8926931308991
1042.37237011821,-54.8293005791641,1042.37237011821,-56.6157326580821
1056.45797802663,-53.9602791076551,1056.45797802663,-55.8969868559538
1070.42153658295,-52.4173755843271,1070.42153658295,-56.2811681702985
1084.41143203418,-54.709519880679,1084.41143203418,-56.5972965635379
1098.42390004152,-56.2185075513563,1098.42390004152,-54.3802290316053
1112.45511740502,-54.5559223018448,1112.45511740502,-59.4115490850718
1126.50120354834,-55.7894636593987,1126.50120354834,-54.9927226460768
1140.55822206472,-55.9875864318674,1140.55822206472,-56.654237637345
1154.45373847152,-57.9707879789863,1154.45373847152,-58.0886898307398
1168.51854511925,-52.2743655604633,1168.51854511925,-57.5412842904775
1182.58215647635,-56.1964983096127,1182.58215647635,-57.8740551639508
1196.465856331,-57.5656663991231,1196.465856331,-55.1139804360399
1210.51255299785,-57.3356102532848,1210.51255299785,-54.0561504670316
1224.54548929697,-53.9136169966777,1224.54548929697,-54.3781064132172
1238.56038754459,-55.4227362117904,1238.56038754459,-55.9030663020028
1252.5529287249,-57.8450306553795,1252.5529287249,-57.9434051180753
1266.5187545517,-57.6777599776006,1266.5187545517,-56.0402042008022
1280.64029778298,-56.3719256337688,1280.64029778298,-56.1059311996712
1294.54149958137,-53.8696655327057,1294.54149958137,-54.8470971898854
1308.59359731188,-56.9047995186561,1308.59359731188,-54.6592367833
1322.60525045632,-58.3667666461646,1322.60525045632,-60.5889902018994
1336.571915847,-56.6064247065802,1336.571915847,-59.0664186662862
1350.489021801,-51.3633151417907,1350.489021801,-56.0975677889075
1364.55104015053,-55.1061150634278,1364.55104015053,-59.3646386411673
1378.55833733133,-56.8567490037919,1378.55833733133,-57.1486398984371
1392.50624369416,-56.166052923977,1392.50624369416,-59.4227111066599
1406.59527146377,-57.0067440410089,1406.59527146377,-56.559165713199
1420.61956893748,-54.4435932396294,1420.61956893748,-60.3755642518523
1434.57437841741,-57.5055530989378,1434.57437841741,-54.5603013941679
1448.66626661418,-54.2807073162584,1448.66626661418,-56.6122105698882
1462.68316311637,-57.2581776290066,1462.68316311637,-56.1753340175112
1476.62023278583,-55.2270753530873,1476.62023278583,-56.0951698408476
1490.69010080551,-56.6572158082855,1490.69010080551,-58.0276629352647
1504.67448872939,-55.7652998265749,1504.67448872939,-60.5223115157199
1518.56849524869,-55.6446789826333,1518.56849524869,-59.259010585409
1532.59079756791,-56.2686813481385,1532.59079756791,-56.9423525039877
1546.74258035703,-57.9290997835551,1546.74258035703,-57.4039105546103
1560.56960731908,-55.322544434678,1560.56960731908,-54.8446594404657
1574.74997513658,-56.9206159872959,1574.74997513658,-57.4829604791461
1588.59558423458,-59.0480159233718,1588.59558423458,-60.7219870480369
1602.79675400514,-60.4441800761217,1602.79675400514,-59.3932711062861
1616.65307527823,-58.6983981598595,1616.65307527823,-58.5648720897446
1630.62918568785,-57.7280347551378,1630.62918568785,-58.0276869190541
1644.72612082183,-60.6424819536673,1644.72612082183,-58.3843238911839
1658.70290746132,-63.4401307760271,1658.70290746132,-60.999121293982
1672.79846801842,-57.5559542409698,1672.79846801842,-58.341431912278
1686.76769919441,-52.4778363465508,1686.76769919441,-59.5222203429419
1700.85358484098,-57.8704200730009,1700.85358484098,-56.0991104030853
1714.80689534695,-59.5156859958202,1714.80689534695,-60.1635327841929
1728.622455204,-59.7215484200933,1728.622455204,-61.8591905743195
1742.80357348486,-58.4503316404761,1742.80357348486,-54.9582683660698
1756.8446921402,-59.1192525964236,1756.8446921402,-59.7218655544816
1770.74056992108,-56.2919428639756,1770.74056992108,-55.8507368692544
1784.74635805442,-58.7327229755651,1784.74635805442,-59.1224436406025
1798.8629258833,-58.9948244680713,1798.8629258833,-56.9675851108149
1812.82664400601,-56.7414202253262,1812.82664400601,-62.3946093984465
1826.89875583732,-63.2291008502196,1826.89875583732,-59.8395012150178
1840.8115139532,-56.5980241017281,1840.8115139532,-61.3932328697295
1854.83022475954,-55.5548147526111,1854.83022475954,-56.5637473416473
1868.68303963265,-56.821437336894,1868.68303963265,-59.9210935398997
1882.91400620515,-56.4106711948802,1882.91400620515,-64.4206991791806
1896.69982165705,-59.7774387178723,1896.69982165705,-57.9346056743988
1910.86533996085,-58.2266959399665,1910.86533996085,-58.621558790954
1924.85580200178,-54.3102426443655,1924.85580200178,-57.1660835219248
1938.94869566048,-58.7229376083707,1938.94869566048,-61.9424005618013
1952.85983333211,-60.518114072529,1952.85983333211,-60.9551275333739
1966.87077753898,-61.3679535991391,1966.87077753898,-60.6393585092552
1980.98224435081,-57.7675378706742,1980.98224435081,-59.6272838581266
1994.90388285713,-60.8215472555768,1994.90388285713,-64.9924140599949
2008.92335768644,-63.2700210419084,2008.92335768644,-62.5537812287409
2022.74622186435,-60.4810967904345,2022.74622186435,-60.1643839052323
2036.96136274768,-61.8769400328994,2036.96136274768,-59.922396415633
2050.97714893743,-62.0926992970935,2050.97714893743,-62.6505874217784
2064.78810522864,-59.6089358346208,2064.78810522864,-63.5476547504933
2078.99535978892,-61.2542171777011,2078.99535978892,-63.9801566910958
2092.9949862882,-61.2562492848162,2092.9949862882,-63.8844233602288
2106.78148812443,-59.3348404399911,2106.78148812443,-65.5246495088259
2120.96822202476,-61.4905861870572,2120.96822202476,-65.6282585430269
2134.93898281448,-64.4341508365291,2134.93898281448,-66.5833918091394
2149.0017686308,-61.044926277519,2149.0017686308,-66.2937519856391
2162.84161009128,-68.4102238673556,2162.84161009128,-69.2301243455174
2177.08818976506,-63.0067481267155,2177.08818976506,-62.7329242198395
2190.78925797755,-60.1873708204167,2190.78925797755,-62.7882606901094
2204.89821612096,-66.5551814217826,2204.89821612096,-65.5153588297989
2219.09803772792,-70.4463688502846,2219.09803772792,-67.8825015942673
2233.06348649938,-65.5639223418603,2233.06348649938,-65.9735012772377
2247.11682402387,-66.1817062505721,2247.11682402387,-66.473354383502
2260.92871618498,-61.9719013613782,2260.92871618498,-63.6901997173346
2274.8255030712,-65.2716750406262,2274.8255030712,-63.4151365275638
2289.14166147747,-71.3598721593852,2289.14166147747,-71.3144775899722
2302.87585144624,-70.6798991447188,2302.87585144624,-74.0665337471853
2317.03046618658,-66.9988390581806,2317.03046618658,-72.4902590792563
2330.93198094277,-66.9410301067099,2330.93198094277,-72.3252830421688
2344.91690077945,-68.463456463151,2344.91690077945,-76.184597501364
2358.98572610304,-68.3075402137772,2358.98572610304,-65.7438770921627
2373.13896032228,-71.0193675582796,2373.13896032228,-63.5354653996903
